Scientific Name,Trees_of_pune Page. Nos_.,Family,Local Name,Country,Wikipedia Link,Photo,Occasional/ Rare/ Common,Leaf Type,Leaf Attachment,Leaf Shape,Flower size,Fruit size,Canopy shape,Medicinal value of tree,Other uses of tree,local name in devnagari script
eucalyptus globulus,103,Myrtaceae,Nilgiri,Australia,,yes,common,Simple,opposite,lanceolate,2-3cm,2-3cm,erect,,,
eucalyptus tereticornis,103,Myrtaceae,Nilgiri,Australia,,yes,Rare,Simple,opposite,lanceolate,1-2cm,,erect,,,
acacia auriculiformis,104,Mimosaceae,Austalian Babhul,Australia,,yes,common,Simple,opposite,lanceolate,10-15cm,5-8cm,irregular,,,
acacia mangium,104,Mimosaceae,Austalian Babhul,Australia,,yes,common,Simple,opposite,lanceolate,10-15cm,5-8cm,irregular,,,
alstonia macrophylla,105,Apocynaceae,Motha Satween,Malaysia,,yes,occasional,Simple,opposite,lanceolate,10-15cm,20-30cm,spreading,,,
alstonia scholaris,104,Apocynaceae,Satween,India,,yes,occasional,Simple,opposite,lanceolate,1cm,30-60cm,globular,,,
melaleuca bracteata,105,Myrtaceae,Golden Bottel Brush,Australia,,no,occasional,Simple,opposite,linear,1cm,,trailing,,,
melaleuca leucadendron,105,Myrtaceae,Golden Bottel Brush,Australia,,yes,occasional,Simple,opposite,linear,1cm,,trailing,,,
callistemon citrinus,106,Myrtaceae,Bottle Brush,Australia,,yes,common,Simple,opposite,linear,2cm,5mm,trailing,,,
cascabela thevetia,106,Apocynaceae,Bitti,West Indies,,no,common,Simple,opposite,linear,3-5cm,2-3cm,spreading,,,
thevetia peruviana,106,Apocynaceae,Bitti,West Indies,,yes,common,Simple,opposite,linear,3-5cm,2-3cm,spreading,,,
nerium indicum,107,Apocynaceae,Kanher,Mediterranean,,yes,common,Simple,opposite,linear,3cm,18-20cm,irregular,,,
pachypodium lamerei,107,Apocynaceae,Madagascar Palm,Madagascar,,yes,Rare,Simple,opposite,linear,5-8cm,15-20cm,erect,,,
ceriscoides turgida,108,Rubiaceae,Phetra,India-Pune,,no,occasional,Simple,opposite,oblong,3-5cm,3-5cm,irregular,,,
petrea arborea,108,Verbenaceae,Petrea,Mexico,,yes,Rare,Simple,opposite,oblong,10-15cm,,irregular,,,
psidium guajava,109,Myrtaceae,Peru,Mexico,,yes,common,Simple,opposite,oblong,3 cm,5-8cm,spreading,,,
syzygium aromaticum,109,Myrtaceae,Jambhul,Indonesia,,yes,common,Simple,opposite,oblong,1cm,2-4cm,oval,,,
syzygium cumini,109,Myrtaceae,Jambhul,India-Pune,,yes,common,Simple,opposite,oblong,1cm,2-4cm,oval,,,
syzygium heyneanum,109,Myrtaceae,Jambhul,India-Pune,,no,Rare,Simple,opposite,oblong,1cm,2-4cm,oval,,,
calotropis gigantea,110,Ascelepiadaceae,mandar,India-Pune,,yes,Rare,Simple,opposite,oblong,2-3cm,8-10cm,spreading,,,
mammea suriga,110,Clusiaceae,Surangi,India-Kokan,,yes,Rare,Simple,opposite,oblong,1cm,2-3cm,oval,,,
cerbera manghas,111,Apocynaceae,Sukanu,India-Kokan,,yes,Rare,Simple,opposite,oblong,3-5cm,5-10cm,oval,,,
terminalia mantaly,111,Combretaceae,Madagascar Almond,Madagascar,,yes,occasional,Simple,opposite,ovate,,,spreading,,,
catunaregam spinosa,112,Rubiaceae,Gela,India-Western Ghats,,no,Rare,Simple,opposite,ovate,2-3cm,3-5cm,spreading,,,
lagerstroemia indica,112,Lythraceae,Gulmendi,China,,yes,common,Simple,opposite,ovate,3 cm,1cm,erect,,,
clerodendrum multiflorum,113,Verbenaceae,Iran,India-Pune,,yes,occasional,Simple,opposite,ovate,,,globular,,,
hamelia patens,113,Rubiaceae,Fire Bush,Tropical America,,yes,occasional,Simple,opposite,ovate,2cm,,irregular,,,
duranta erecta,114,Verbenaceae,Duranta,South America,,yes,common,Simple,opposite,ovate,1cm,5-8cm,irregular,,,
euphorbia cotinifolia,114,Euphorbiaceae,Copper Plant,Central America,,yes,common,Simple,opposite,ovate,3-5cm,,globular,,,
mitragyna parvifolia,115,Rubiaceae,Kalam,India-Pune,,yes,occasional,Simple,opposite,ovate,2-3cm,12-16mm,globular,,,
nyctanthes arbor-tristis,115,Oleaceae,Parijatak,Sumatra,,yes,common,Simple,opposite,ovate,2-3cm,1-2cm,irregular,,,
eucalyptus spp (confirm name),116,Myrtaceae,Nilgiri,Australia,,yes,occasional,Simple,opposite,ovate,,,erect,,,
mussaenda erythrophylla,116,Rubiaceae,Mussaenda,Africa,,yes,occasional,Simple,opposite,ovate,10-15cm,,irregular,,,
gardenia uliginosa,117,Rubiaceae,Pandhara,India-Pune,,no,Rare,Simple,opposite,ovate,4-8cm,5-8cm,erect,,,
gmelina arborea,117,Verbenaceae,Shiwan,India-Pune,,yes,occasional,Simple,opposite,ovate,3-5cm,3-5cm,irregular,,,
tamilnadia uliginosa,117,Rubiaceae,Pandhara,India-Pune,,no,Rare,Simple,opposite,ovate,4-8cm,5-8cm,erect,,,
haldina cordifolia,118,Rubiaceae,Hedu,India-Pune,,yes,Rare,Simple,opposite,ovate,2-3cm,5-6cm,spreading,,,
trewia nudiflora,118,Euphorbiaceae,Petari,India-Kokan,,yes,Rare,Simple,opposite,ovate,7-19cm,2-4cm,irregular,,,
clusia rosea,119,Clusiaceae,Pitch Apple,America,,yes,occasional,Simple,opposite,ovate,3-5cm,5-7cm,oval,,,
gardenia latifolia,119,Rubiaceae,Pendro,India-Karnataka,,yes,Rare,Simple,opposite,ovate,8-10cm,3-5cm,irregular,,,
ficus hispida,120,Moraceae,Kala Umber,India-Pune,,yes,Rare,Simple,opposite,ovate,,,spreading,,,
plumeria pudica,120,Apocynaceae,Pandhra Chapha,Central America,,yes,occasional,Simple,opposite,ovate,20-30cm,,erect,,,
plumeria obtusata (plumeria obtusa),121,Apocynaceae,Lal Chapha,Central America,,yes,common,Simple,opposite,ovate,3-5cm,10-15cm,spreading,,,
plumeria rubra,121,Apocynaceae,Lal Chapha,Central America,,yes,common,Simple,opposite,ovate,3-5cm,10-15cm,spreading,,,
tectona grandis,121,Verbenaceae,Sag,South East Asia,,yes,common,Uni-pinnate,opposite,ovate,30-50cm,1-2cm,conical,,,
clausena indica,122,Rutaceae,Ran Kadhilimb,India-Karnataka,,no,Rare,Uni-pinnate,Alternate,ovate,1cm,1cm,spreading,,,
murraya koenigii,122,Rutaceae,Kadhilimb,India-Pune,,yes,common,Uni-pinnate,Alternate,ovate,5-10cm,1cm,irregular,,,
ailanthus excelsa,123,Simaroubaceae,Maharukh,India-Pune,,yes,occasional,Uni-pinnate,Alternate,lanceolate,20cm,4-6cm,conical,,,
harpullia zanguebarica,123,Sapindaceae,Black Pearl,Africa,,no,Rare,Uni-pinnate,Alternate,elliptic,5-10cm,3-4 cm,spreading,,,
dalbergia melanoxylon,124,Fabaceae,Black Wood,India-Karnataka,,yes,occasional,Uni-pinnate,Alternate,oblong,,,vase shaped,,,
grevillea robusta,124,Proteaceae,Silver Oak,Australia,,yes,occasional,Uni-pinnate,Alternate,lanceolate,2cm,2 cm,irregular,,,
dalbergia lanceolaria var. lanceolaria,125,Fabaceae,Dandus,India-Pune,,no,occasional,Uni-pinnate,Alternate,oblong,1cm,,irregular,,,
dalbergia lanceolaria var. paniculata,125,Fabaceae,Phanshi,India-Pune,,no,common,Uni-pinnate,Alternate,oblong,5-8cm,,irregular,,,
filicium decipiens,126,Sapindaceae,Fern Tree,India-South India,,no,occasional,Uni-pinnate,Alternate,oblong,16-20,1cm,irregular,,,
simarouba glauca,126,Simaroubaceae,Laxmi Taru,America,,yes,Rare,Uni-pinnate,Alternate,oblong,20-30cm,2-3cm,irregular,,,
dalbergia sissoo,127,Fabaceae,Shisav,India-Himalayas,,yes,common,Uni-pinnate,Alternate,ovate,5-8cm,,globular,,,
murraya paniculata,127,Rutaceae,Kunti,India-Western Ghats,,yes,occasional,Uni-pinnate,Alternate,ovate,2-4cm,1-2cm,erect,,,
cassia spectabilis,128,Caesalpiniceae,Spectacular Cassia,South East Asia,,yes,occasional,Uni-pinnate,opposite,ovate,30-50cm,,oval,,,
dalbergia latifolia,128,Fabaceae,Shisam,India-Western Ghats,,yes,occasional,Uni-pinnate,Alternate,Elliptic,1cm,,irregular,,,
senna alata,128,Caesalpiniceae,Spectacular Cassia,South East Asia,,yes,occasional,Uni-pinnate,Alternate,Elliptic,30-50cm,,oval,,,
senna spectabilis,128,Caesalpiniceae,Spectacular Cassia,South East Asia,,yes,occasional,Uni-pinnate,Alternate,Elliptic,30-50cm,,oval,,,
bursera delpechiana,129,Burseraceae,Tree of Fragrance,South America,,no,Rare,Uni-pinnate,opposite,Elliptic,5-8cm,1cm,spreading,,,
bursera penicillata,129,Burseraceae,Tree of Fragrance,South America,,yes,Rare,Uni-pinnate,opposite,Elliptic,5-8cm,1cm,spreading,,,
parmentiera cereifera,129,Bignoniaceae,Candle Tree,Central and South America,,yes,Rare,Uni-pinnate,opposite,Elliptic,5cm,15-20cm,spreading,,,
schinus terebinthifolius,130,Anacardiaceae,Brazillian Pepper,Brazil,,yes,Rare,Uni-pinnate,opposite,Elliptic,,4mm,vase shaped,,,
spondias pinnata,130,Anacardiaceae,Ambada,India-Karnataka,,yes,occasional,Uni-pinnate,opposite,Elliptic,15-20cm,6cm,conical,,,
heterophragma quadriloculare,131,Bignoniaceae,Waras,India-Pune,,no,occasional,Uni-pinnate,opposite,Elliptic,3-5cm,20-30cm,conical,,,
spathodea campanulata,131,Bignoniaceae,Pichkari,Africa,,yes,common,Uni-pinnate,opposite,Elliptic,8-10cm,20-25cm,oval,,,
erythrina blakei,132,Fabaceae,Cockspur Coral Tree,India-Solapur road,,yes,Rare,Uni-pinnate,opposite,Elliptic,3-4cm,,irregular,,,
erythrina crista-galli,132,Fabaceae,Cockspur Coral Tree,India-Solapur road,,yes,Rare,Uni-pinnate,opposite,Elliptic,3-4cm,,irregular,,,
toona hexandra,132,Meliaceae,Toon,India-Himalayas,,no,Rare,Uni-pinnate,opposite,Elliptic,1cm,2-3cm,irregular,,,
cassia fistula,133,Caesalpiniceae,Amaltas,India-Pune,,yes,occasional,Uni-pinnate,opposite,Elliptic,3-5cm,,spreading,,,
unidentified,133,,,Empress Garden,,yes,Rare,Uni-pinnate,opposite,Elliptic,,,irregular,,,
litchi chinensis,134,Sapindaceae,Litchi,China,,,Rare,Uni-pinnate,opposite,Elliptic,10-20cm,3-5cm,irregular,,,
nephelium chinensis,134,Sapindaceae,Litchi,China,,no,Rare,Uni-pinnate,opposite,Elliptic,10-20cm,3-5cm,irregular,,,
sambucus canadensis,134,Sambucaceae,Sambucus,America,,yes,occasional,Uni-pinnate,opposite,Elliptic,15-30cm,5mm,irregular,,,
markhamia platycalyx,135,Bignoniaceae,Markhamia,Africa,,yes,occasional,Uni-pinnate,opposite,Elliptic,5cm,30-35cm,erect,,,
stereospermum colais,135,Bignoniaceae,Padal,India-Pune,,yes,Rare,Uni-pinnate,opposite,Elliptic,20-30cm,30-50cm,conical,,,
stereospermum colais var. angustifolium,135,Bignoniaceae,Padal,"India-Canal road, Kothrud, Pune",,no,Rare,Uni-pinnate,opposite,Elliptic,20-30cm,30-50cm,conical,,,
canarium ovatum,136,Burseraceae,Pilinut,Philippiness,,yes,Rare,Uni-pinnate,opposite,Elliptic,10-15cm,3-5cm,irregular,,,
schleichera oleosa,136,Sapindaceae,Kusumb,India-Pune,,yes,occasional,Uni-pinnate,opposite,Elliptic,3-5cm,,spreading,,,
haplophragma adenophyllum,137,Bignoniaceae,Katsagon,India-North East,,no,Rare,Uni-pinnate,opposite,Elliptic,20-30cm,30-50cm,irregular,,,
saraca asoca,137,Caesalpiniceae,Seeta Ashok,India,,yes,occasional,Uni-pinnate,opposite,Elliptic,3-5cm,,spreading,,,
azadirachta indica,139,Meliaceae,Kadulimb,India,,yes,common,Uni-pinnate,opposite,lanceolate,10-15cm,2cm,irregular,,,
khaya grandifoliola,138,Meliaceae,Large-leaved Khaya,Africa,,yes,occasional,Uni-pinnate,opposite,Elliptic,,,oval,,,
swietenia macrophylla,138,Meliaceae,Mahogany,Africa,,yes,common,Uni-pinnate,opposite,lanceolate,5-10cm,7-15cm,globular,,,
swietenia mahagoni,138,Meliaceae,Mahogany,Africa,,yes,common,Uni-pinnate,opposite,lanceolate,5-10cm,7-15cm,globular,,,
garuga pinnata,139,Burseraceae,Kakad,India-Pune,,yes,Rare,Uni-pinnate,opposite,lanceolate,10-15cm,2cm,irregular,,,
aegle marmelos,140,Rutaceae,Bel,India,,yes,occasional,Uni-pinnate,opposite,lanceolate,2cm,5-10cm,irregular,,,
tecoma gaudichaudi,140,Bignoniaceae,Tecoma,South America,,yes,common,Uni-pinnate,opposite,lanceolate,10-15cm,10-15cm,vase shaped,,,
tecoma stans,140,Bignoniaceae,Tecoma,South America,,yes,common,Uni-pinnate,opposite,lanceolate,10-15cm,10-15cm,vase shaped,,,
brownea coccinea,141,Caesalpiniceae,Flame Bean,Jamaica,,yes,occasional,Uni-pinnate,opposite,lanceolate,,,spreading,,,
sapindus emarginatus,141,Sapindaceae,Ritha,India,,yes,occasional,Uni-pinnate,opposite,lanceolate,10-15cm,2cm,irregular,,,
sapindus laurifolius,141,Sapindaceae,Ritha,India,,yes,occasional,Uni-pinnate,opposite,lanceolate,10-15cm,2 cm,irregular,,,
amherstia nobilis,142,Caesalpiniceae,Urvashi,Burma,,yes,Rare,Uni-pinnate,opposite,lanceolate,8-10cm,,conical,,,
vitex altissima,142,Verbenaceae,Balage,India,,yes,Rare,Uni-pinnate,opposite,lanceolate,,,irregular,,,
vitex negundo,142,Verbenaceae,Balage,India,,yes,Rare,Uni-pinnate,opposite,lanceolate,,,irregular,,,
wallichia disticha,142,,,,,no,common,Uni-pinnate,opposite,lanceolate,,,irregular,,,
tamarindus indica,143,Caesalpiniceae,Chinch,Africa,,yes,common,Uni-pinnate,opposite,oblong,3-5cm,,globular,,,
cassia roxburghii,143,Caesalpiniceae,Red Cassia,India-South India,,yes,occasional,Uni-pinnate,opposite,oblong,1-2cm,,globular,,,
cassia javanica var. indochinensis,144,Caesalpiniceae,Jawa Cassia,Malaysia,,no,occasional,Uni-pinnate,opposite,oblong,,,spreading,,,
cassia javanica var. javanica,144,Caesalpiniceae,Jawa Cassia,Malaysia,,no,occasional,Uni-pinnate,opposite,oblong,,,spreading,,,
sesbania grandiflora,144,Fabaceae,Hadga,South East Asia,,yes,occasional,Uni-pinnate,opposite,oblong,5-8cm,,irregular,,,
sesbania sesban,144,Fabaceae,Hadga,South East Asia,,yes,occasional,Uni-pinnate,opposite,oblong,5-8cm,,irregular,,,
cassia grandis,145,Caesalpiniceae,Horse Cassia,South America,,yes,occasional,Uni-pinnate,opposite,oblong,2cm,,spreading,,,
chloroxylon swietenia,145,Meliaceae,Behru,India-Karnataka,,yes,Rare,Uni-pinnate,opposite,oblong,10-20cm,3cm,irregular,,,
cassia renigera,146,Caesalpiniceae,Gulabi Bahawa,Burma,,no,common,Uni-pinnate,opposite,oblong,3 cm,,irregular,,,
cassia surattensis,146,Caesalpiniceae,Motha Tarwad,Indonesia,,yes,common,Uni-pinnate,opposite,oblong,10-20cm,,oval,,,
senna siamea,146,Caesalpiniceae,Motha Tarwad,Burma and Malaysia,,yes,common,Uni-pinnate,opposite,oblong,10-20cm,,oval,,,
senna surattensis,146,Caesalpiniceae,Motha Tarwad,Indonesia,,no,common,Uni-pinnate,opposite,oblong,10-20cm,,oval,,,
averrhoa bilimbi,147,Averrhoaceae,Bimbal,Tropical America,,yes,Rare,Uni-pinnate,opposite,oblong,1cm,4-5cm,irregular,,,
pterocarpus marsupium,147,Fabaceae,Beeja,India-Pune,,yes,occasional,Uni-pinnate,opposite,oblong,1cm,,oval,,,
pterocarpus santalinus,147,Fabaceae,Beeja,India-Andhra Pradesh,,yes,occasional,Uni-pinnate,opposite,oblong,1cm,,oval,,,
castanospermum australe,148,Fabaceae,Australian Chestnut,Australia,,yes,Rare,Uni-pinnate,opposite,oblong,5cm,,irregular,,,
pterocarpus indicus f. echinatus,148,Fabaceae,Padauk,India-Andamans,,yes,Rare,Uni-pinnate,opposite,oblong,20-30cm,,irregular,,,
pterocarpus indicus f. indicus,148,Fabaceae,Padauk,Philippiness,,yes,Rare,Uni-pinnate,opposite,oblong,20-30cm,,irregular,,,
khaya anthotheca,149,Meliaceae,Khaya,Africa,,yes,common,Uni-pinnate,opposite,oblong,5-8cm,5-8cm,globular,,,
khaya senegalensis,149,Meliaceae,Khaya,Africa,,yes,common,Uni-pinnate,opposite,oblong,5-8cm,5-8cm,globular,,,
kigelia africana,149,Bignoniaceae,Brahmadand,Africa,,yes,occasional,Uni-pinnate,opposite,oblong,5-8cm,20cm,conical,,,
kigelia pinnata ****,149,Bignoniaceae,Brahmadand,Africa,,yes,Rare,Uni-pinnate,opposite,oblong,5-8cm,20cm,conical,,,
Amoora rohituka,150,Meliaceae,Raktarohida,India-Kokan,,no,occasional,Uni-pinnate,opposite,oblong,20-30cm,3-4 cm,irregular,,,
aphanamixis polystachya,150,Meliaceae,Raktarohida,India-Kokan,,yes,occasional,Uni-pinnate,opposite,oblong,20-30cm,3-4 cm,irregular,,,
lannea coromandelica,150,Anacardiaceae,Moi,India-Pune,,yes,common,Uni-pinnate,opposite,oblong,10-20cm,8mm,irregular,,,
guaiacum officinale,151,Zygophyllaceae,Gum Guaiacum,West Indies,,,occasional,Uni-pinnate,opposite,ovate,2cm,3cm,spreading,,,
haematoxylon campechianum,151,Mimosaceae,Raktachandan,Tropical America,,yes,Rare,Uni-pinnate,opposite,oblong,,,irregular,,,
hardwickia binata,152,Caesalpiniceae,Anjan,India,,yes,Rare,Uni-pinnate,opposite,ovate,5cm,,irregular,,,
tecoma smithii,152,Bignoniaceae,Dwarf Tecoma,South America,,no,occasional,Uni-pinnate,opposite,ovate,3 cm,8-12cm,vase shaped,,,
balanites aegyptiaca,153,Balanitaceae,Hinganbet,India-Pune,,yes,Rare,Uni-pinnate,opposite,ovate,6-8cm,3-5cm,irregular,,,
feronia elephantum,153,Rutaceae,Kavath,Java,,yes,occasional,Uni-pinnate,opposite,ovate,5-8cm,5-8cm,irregular,,,
limonia acidissima,153,Rutaceae,Kavath,Java,,yes,occasional,Uni-pinnate,opposite,ovate,5-8cm,5-8cm,irregular,,,
boswellia serrata,154,Burseraceae,Salai,India-Pune,,yes,occasional,Uni-pinnate,opposite,ovate,10-15cm,2 cm,spreading,,,
dolichandrone falcata,154,Bignoniaceae,Medhshingi,India-Pune,,yes,occasional,Uni-pinnate,opposite,ovate,3-5cm,25-40cm,irregular,,,
averrhoa carambola,155,Averrhoaceae,Kamrak,America,,yes,occasional,Uni-pinnate,opposite,ovate,5cm,5-8cm,irregular,,,
gliricidia sepium,155,Fabaceae,Giripushpa,Columbia,,yes,common,Uni-pinnate,opposite,ovate,1-2cm,,irregular,,,
chukrasia tabularis,156,Meliaceae,Dalmara,India-Konkan,,no,Rare,Uni-pinnate,opposite,ovate,1-2cm,4-6cm,oval,,,
millettia peguensis,156,Fabaceae,Lal Karanj,Burma,,yes,occasional,Uni-pinnate,opposite,ovate,1-2cm,,oval,,,
crateva magna,157,Capparaceae,Vaywaran,India-Konkan,,no,occasional,Uni-pinnate,opposite,ovate,5-8cm,5cm,globular,,,
pongamia pinnata,157,Fabaceae,Karanj,India-Pune,,yes,occasional,Uni-pinnate,opposite,ovate,8-10cm,,trailing,,,
erythrina suberosa,158,Fabaceae,Buch Panagara,India-Pune,,yes,occasional,Uni-pinnate,opposite,ovate,3-5cm,,irregular,,,
schrebera swietenioides,158,Oleaceae,Mokha,India-Pune,,no,occasional,Uni-pinnate,opposite,ovate,2-3cm,5cm,oval,,,
erythrina variegata,159,Fabaceae,Pangara,India-Konkan,,no,occasional,Uni-pinnate,opposite,ovate,10-20cm,,irregular,,,
ougeinia oojeinensis,159,Fabaceae,Kala Palas,India-Pune,,no,occasional,Uni-pinnate,opposite,ovate,10-15cm,,irregular,,,
adenanthera pavonina,160,Fabaceae,Palas,India-Pune,,yes,occasional,Multi-pinnata,opposite,ovate,20cm,,irregular,,,
butea monosperma,160,Mimosaceae,Ratangunj,India-Konkan,,yes,occasional,Uni-pinnate,opposite,Elliptic,3-5cm,,irregular,,,
albizia lucidor (Mistake in ToP),161,Mimosaceae,Potka Shirish,India-Assam,,no,Rare,Multi-pinnata,opposite,Elliptic,2-3cm,,irregular,,,
calliandra haematocephala,161,Mimosaceae,Powder Puff,Tropical America,,yes,occasional,Multi-pinnata,opposite,Elliptic,3-5cm,,spreading,,,
calliandra portoricensis,161,Mimosaceae,Powder Puff,Tropical America,,no,occasional,Multi-pinnata,opposite,Elliptic,3-5cm,,spreading,,,
acrocarpus fraxinifolius,162,Caesalpiniceae,Tokphal,India-South India,,yes,occasional,Multi-pinnata,opposite,Elliptic,10-20cm,,irregular,,,
jacaranda mimosifolia,162,Bignoniaceae,Neelmohor,Tropical America,,yes,common,Multi-pinnata,opposite,Elliptic,3 cm,5cm,irregular,,,
acacia planifrons,163,Mimosaceae,Chhatri Babhul,India-South India,,yes,Rare,Multi-pinnata,opposite,oblong,1-2cm,,spreading,,,
dichrostachys cinera,163,Mimosaceae,Sigamkathi,India-Pune,,yes,occasional,Multi-pinnata,opposite,oblong,3-4cm,,irregular,,,
acacia catechu,164,Mimosaceae,Khair,India-Pune,,yes,common,Multi-pinnata,opposite,oblong,10-15cm,,irregular,,,
acacia chundra,164,Mimosaceae,Khair,India-Pune,,yes,common,Multi-pinnata,opposite,oblong,10-15cm,,irregular,,,
parkinsonia aculeata,164,Caesalpiniceae,Vedi Babhul,Mexico,,yes,occasional,Multi-pinnata,opposite,oblong,2cm,,spreading,,,
acacia eburnea,165,Mimosaceae,Dev Babhul,India-Pune,,yes,occasional,Multi-pinnata,opposite,oblong,1cm,,trailing,,,
acacia farnesiana,165,Mimosaceae,Dev Babhul,India-Pune,,yes,occasional,Multi-pinnata,opposite,oblong,1cm,,trailing,,,
acacia leucophloea,165,Mimosaceae,Hivar,India-Pune,,yes,common,Multi-pinnata,opposite,oblong,10-15cm,,spreading,,,
acacia nilotica,166,Mimosaceae,Babhul,India-Pune,,yes,common,Multi-pinnata,opposite,oblong,1-1.5cm,,spreading,,,
acacia nilotica var. cupressiformis,166,Mimosaceae,Babhul,India-Pune,,no,occasional,Multi-pinnata,opposite,oblong,1-1.5cm,,spreading,,,
caesalpinia coriaria,166,Caesalpiniceae,Dividivi,South America,,yes,occasional,Multi-pinnata,opposite,oblong,5-8cm,,irregular,,,
acacia ferruginea (Mistake in ToP),167,Mimosaceae,Pandhra Khair,India-Pune,,no,occasional,Multi-pinnata,opposite,oblong,8-10cm,,irregular,,,
albizia amara,167,Mimosaceae,Kala Shirish,India-Pune,,yes,occasional,Multi-pinnata,opposite,oblong,1cm,,spreading,,,
caesalpinia pulcherrima,168,Caesalpiniceae,Shankasur,West Indies,,yes,common,Multi-pinnata,opposite,oblong,2cm,,irregular,,,
colvillea racemosa,168,Caesalpiniceae,Manimohor,East Africa,,yes,occasional,Multi-pinnata,opposite,oblong,15-25cm,,irregular,,,
delonix regia,169,Caesalpiniceae,Gulmohor,Madagascar,,yes,common,Multi-pinnata,opposite,oblong,5-8cm,,spreading,,,
leucaena latisiliqua,169,Mimosaceae,Subabhul,South America,,yes,common,Multi-pinnata,opposite,oblong,2-3cm,,oval,,,
parkia biglandulosa,170,Mimosaceae,Chenduphali,Burma,,yes,occasional,Multi-pinnata,opposite,oblong,15-20cm,,oval,,,
prosopis cineraria,170,Mimosaceae,Shami,India-Rajasthan,,yes,Rare,Multi-pinnata,opposite,oblong,10-15cm,,globular,,,
prosopis juliflora,170,Mimosaceae,Shami,South America,,yes,common,Multi-pinnata,opposite,oblong,10-15cm,,globular,,,
albizia odoratissima,171,Mimosaceae,Chinchva,India-Pune,,yes,Rare,Multi-pinnata,opposite,oblong,2-3cm,,irregular,,,
peltophorum africanum,171,Caesalpiniceae,Tambadsheng,South Africa,,yes,Rare,Multi-pinnata,opposite,oblong,3 cm,,irregular,,,
peltophorum pterocarpum,171,Caesalpiniceae,Tambadsheng,Sri Lanka,,yes,common,Multi-pinnata,opposite,oblong,3 cm,,irregular,,,
albizia lebbeck,172,Mimosaceae,Shirish,India-Pune,,no,occasional,Multi-pinnata,opposite,oblong,3-5cm,,irregular,,,
albizia procera,172,Mimosaceae,Kinhai,India-Pune,,no,occasional,Multi-pinnata,opposite,oblong,2cm,,irregular,,,
caesalpinia ferrea,173,Caesalpiniceae,Brazillian Ironwood,Brazil,,yes,occasional,Multi-pinnata,opposite,oblong,1cm,,spreading,,,
moringa oleifera,173,Moringaceae,Shewga,North Africa,,yes,common,Multi-pinnata,opposite,oblong,2cm,30-50cm,irregular,,,
pithecellobium dulce,174,Mimosaceae,Vilayati Chinch,Mexico,,yes,occasional,Multi-pinnata,opposite,ovate,1cm,,trailing,,,
samanea saman (Albizia saman),174,Mimosaceae,Rain Tree,Tropical America,,yes,common,Multi-pinnata,opposite,ovate,3-5cm,,spreading,,,
melia azedarach,175,Meliaceae,Bakan Neem,India-Pune,,yes,occasional,Multi-pinnata,opposite,ovate,10-15cm,,irregular,,,
melia dubia,175,Meliaceae,Bakan Neem,India-Pune,,yes,occasional,Multi-pinnata,opposite,ovate,10-15cm,,irregular,,,
millingtonia hortensis,175,Bignoniaceae,Buch,Burma,,yes,common,Multi-pinnata,opposite,ovate,5-10cm,30cm,erect,,,
oroxylum indicum,176,Bignoniaceae,Tetu,India-Konkan,,yes,Rare,Multi-pinnata,opposite,ovate,8-12cm,1m,erect,,,
radermachera xylocarpa,176,Bignoniaceae,Khadshingi,India-Pune,,yes,Rare,Multi-pinnata,opposite,ovate,5cm,50-80cm,globular,,,
adansonia digitata,177,Bombacaceae,Gorakh Chinch,Tropical Africa,,yes,occasional,digitate,,Elliptic,10-12cm,15-20cm,spreading,,,
joannesia princeps,177,Euphorbiaceae,Arara Nut,Brazil,,yes,Rare,digitate,,Elliptic,10-20cm,8-12cm,oval,,,
ceiba pentandra,178,Bombacaceae,Pandhri Sawar,Mexico,,yes,common,digitate,,Elliptic,4-5cm,20cm,conical,,,
ceiba speciosa,178,Bombacaceae,Delhi Sawar,South America,,yes,occasional,digitate,,Elliptic,8-10cm,10-15cm,conical,,,
chorisia speciosa,178,Bombacaceae,Delhi Sawar,South America,,yes,occasional,digitate,,Elliptic,8-10cm,10-15cm,globular,,,
brassaia actinophylla,179,Araliaceae,Umbrella Tree,Australia,,yes,occasional,digitate,,Elliptic,30-40cm,1cm,oval,,,
schefflera actinophylla,179,Araliaceae,Umbrella Tree,Australia,,yes,occasional,digitate,,Elliptic,30-40cm,1cm,oval,,,
pseudobombax ellipticum,179,Bombacaceae,Shaving Brush,Mexico,,yes,Rare,digitate,,Elliptic,15-25cm,15cm,irregular,,,
sterculia foetida,180,Sterculiaceae,Jungli Badam,South Asia,,yes,occasional,digitate,,Elliptic,2cm,10-15cm,oval,,,
sterculia guttata,180,Sterculiaceae,Jungli Badam,Western Ghats,,yes,Rare,digitate,,Elliptic,2cm,10-15cm,oval,,,
tabebuia sp.,180,Bignoniaceae,,Brazil,,yes,Rare,digitate,,Elliptic,,,oval,,,
bombax ceiba,181,Bombacaceae,Sawar,India-Pune,,yes,common,digitate,,Elliptic,8-12cm,10-15cm,globular,,,
tabebuia rosea,181,Bignoniaceae,Pink Trumpet,Brazil,,yes,occasional,digitate,,Elliptic,5-8cm,10-15cm,irregular,,,
tabebuia argentea,182,Bignoniaceae,Golden Trumpet,Brazil,,yes,occasional,digitate,,Elliptic,15cm,10cm,irregular,,,
